Column_names,Data_types
TYPE,int
MARKET,varchar
FROMSYMBOL,varchar
TOSYMBOL,varchar
FLAGS,int
LASTMARKET,varchar
MEDIAN,numeric
TOPTIERVOLUME24HOUR,numeric
TOPTIERVOLUME24HOURTO,numeric
LASTTRADEID,int
PRICE,numeric
LASTUPDATE,datetime
LASTVOLUME,varchar
LASTVOLUMETO,varchar
VOLUMEHOUR,numeric
VOLUMEHOURTO,numeric
OPENHOUR,numeric
HIGHHOUR,numeric
LOWHOUR,numeric
VOLUMEDAY,numeric
VOLUMEDAYTO,numeric
OPENDAY,numeric
HIGHDAY,numeric
LOWDAY,numeric
VOLUME24HOUR,numeric
VOLUME24HOURTO,numeric
OPEN24HOUR,numeric
HIGH24HOUR,numeric
LOW24HOUR,numeric
CHANGE24HOUR,numeric
CHANGEPCT24HOUR,numeric
CHANGEDAY,numeric
CHANGEPCTDAY,numeric
CHANGEHOUR,numeric
CHANGEPCTHOUR,numeric
CONVERSIONTYPE,varchar
CONVERSIONSYMBOL,varchar
CONVERSIONLASTUPDATE,int
SUPPLY,numeric
MKTCAP,numeric
MKTCAPPENALTY,numeric
CIRCULATINGSUPPLY,numeric
CIRCULATINGSUPPLYMKTCAP,numeric
TOTALVOLUME24H,numeric
TOTALVOLUME24HTO,numeric
TOTALTOPTIERVOLUME24H,numeric
TOTALTOPTIERVOLUME24HTO,numeric
IMAGEURL,varchar
create_timestamp,datetime
lastupdate_seq,int
